area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom,total_room,ready,price_per_sqft,price_per_total_room,total_spaces,price_per_total_spaces
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,PeBayle,1500.0,2,2,185.0,2,4,Ready,0.12333333333333334,46.25,8,23.125
Plot  Area,Ready To Move,Murugeshpalya,GrrvaGr,1407.0,4,1,150.0,6,6,Ready,0.10660980810234541,25.0,11,13.636363636363637
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,GrrvaGr,840.0,2,2,45.0,2,4,Ready,0.05357142857142857,11.25,8,5.625
Plot  Area,Ready To Move,Tharabanahalli,GrrvaGr,4395.0,3,2,240.0,3,3,Ready,0.05460750853242321,80.0,8,30.0
Super built-up  Area,Ready To Move,Ganga Nagar,Laavevi,845.0,2,1,55.0,2,4,Ready,0.0650887573964497,13.75,7,7.857142857142857
Plot  Area,Ready To Move,Whitefield,Chranya,5700.0,5,3,650.0,4,4,Ready,0.11403508771929824,162.5,12,54.166666666666664
Built-up  Area,Ready To Move,Varthur,HioraTr,1160.0,2,2,44.0,2,4,Ready,0.03793103448275862,11.0,8,5.5
Built-up  Area,Ready To Move,Bommanahalli,GrrvaGr,3000.0,8,0,140.0,8,8,Ready,0.04666666666666667,17.5,16,8.75
Super built-up  Area,Ready To Move,Doddathoguru,GrrvaGr,1100.0,2,1,62.0,2,4,Ready,0.056363636363636366,15.5,7,8.857142857142858
Super built-up  Area,18-Apr,Gunjur,BMineis,1140.0,2,3,43.0,2,4,Not Ready,0.037719298245614034,10.75,9,4.777777777777778
Super built-up  Area,Ready To Move,Marathahalli,GrrvaGr,1220.0,2,1,57.0,2,4,Ready,0.04672131147540984,14.25,7,8.142857142857142
Plot  Area,Ready To Move,Devarachikkanahalli,GrrvaGr,1350.0,7,0,85.0,8,8,Ready,0.06296296296296296,10.625,15,5.666666666666667
Super built-up  Area,Ready To Move,Kanakpura Road,GrrvaGr,1005.0,2,1,36.68,2,4,Ready,0.03649751243781094,9.17,7,5.24
Plot  Area,Ready To Move,Double Road,GrrvaGr,500.0,3,2,100.0,3,3,Ready,0.2,33.333333333333336,8,12.5
Super built-up  Area,20-Aug,Begur Road,Pruthg ,1358.0,2,1,80.58,2,4,Not Ready,0.05933726067746686,20.145,7,11.51142857142857
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1569.0,3,1,101.0,3,5,Ready,0.06437221159974506,20.2,9,11.222222222222221
Super built-up  Area,18-Apr,Haralur Road,SNnia E,1240.0,2,1,70.0,2,4,Not Ready,0.056451612903225805,17.5,7,10.0
Super built-up  Area,Ready To Move,Hennur Road,Anavi B,2089.0,3,2,140.0,3,5,Ready,0.06701771182383916,28.0,10,14.0
Super built-up  Area,Ready To Move,Kothannur,GrrvaGr,1206.0,2,1,48.23,2,4,Ready,0.03999170812603648,12.0575,7,6.89
Super built-up  Area,Ready To Move,Kalena Agrahara,GrrvaGr,1150.0,2,3,40.0,2,4,Ready,0.034782608695652174,10.0,9,4.444444444444445
Built-up  Area,Ready To Move,Cholanayakanahalli,Viony H,2511.0,3,3,205.0,3,5,Ready,0.08164078056551174,41.0,11,18.636363636363637
Built-up  Area,Ready To Move,Kaval Byrasandra,GrrvaGr,460.0,1,0,22.0,2,4,Ready,0.04782608695652174,5.5,5,4.4
Built-up  Area,Ready To Move,ISRO Layout,GrrvaGr,4400.0,6,3,250.0,6,6,Ready,0.056818181818181816,41.666666666666664,15,16.666666666666668
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,AdentEl,1660.0,2,2,105.0,3,5,Ready,0.06325301204819277,21.0,9,11.666666666666666
Built-up  Area,18-Oct,Hennur Road,Gollela,3203.5,2,1,224.5,4,4,Not Ready,0.07007960043702201,56.125,7,32.07142857142857
Super built-up  Area,19-Mar,Yelahanka,Niareum,1326.0,2,2,78.0,2,4,Not Ready,0.058823529411764705,19.5,8,9.75
Super built-up  Area,Ready To Move,Garudachar Palya,GrrvaGr,1325.0,2,2,60.8,3,5,Ready,0.045886792452830186,12.16,9,6.7555555555555555
Super built-up  Area,Ready To Move,EPIP Zone,SJlynro,1499.0,5,2,102.0,3,5,Ready,0.06804536357571714,20.4,12,8.5
Built-up  Area,Ready To Move,Hegde Nagar,GrrvaGr,3000.0,7,2,210.0,6,6,Ready,0.07,35.0,15,14.0
Super built-up  Area,Ready To Move,Kanakpura Road,GrrvaGr,1665.0,3,2,88.0,3,5,Ready,0.05285285285285285,17.6,10,8.8
Super built-up  Area,17-Sep,Dasanapura,Tavenew,708.0,2,2,37.0,2,4,Not Ready,0.052259887005649715,9.25,8,4.625
Super built-up  Area,Ready To Move,Kasavanhalli,Srire S,1060.0,2,2,58.06,2,4,Ready,0.05477358490566038,14.515,8,7.2575
Plot  Area,Ready To Move,Rajaji Nagar,GrrvaGr,710.0,6,3,160.0,6,6,Ready,0.22535211267605634,26.666666666666668,15,10.666666666666666
Built-up  Area,Ready To Move,Sanjay nagar,Saenti ,1000.0,2,2,70.0,2,4,Ready,0.07,17.5,8,8.75
Super built-up  Area,18-Dec,Electronic City,GrrvaGr,1000.0,2,1,28.88,2,4,Not Ready,0.02888,7.22,7,4.1257142857142854
Super built-up  Area,Ready To Move, Mysore Highway,GrrvaGr,1450.0,2,2,70.0,3,5,Ready,0.04827586206896552,14.0,9,7.777777777777778
Plot  Area,Ready To Move,ISRO Layout,GrrvaGr,1200.0,4,2,155.0,4,4,Ready,0.12916666666666668,38.75,10,15.5
Super built-up  Area,17-Aug,Thanisandra,Bhmesy ,1296.0,2,3,80.0,2,4,Not Ready,0.06172839506172839,20.0,9,8.88888888888889
Super built-up  Area,Ready To Move,Domlur,GrrvaGr,1540.0,3,2,90.0,3,5,Ready,0.05844155844155844,18.0,10,9.0
Plot  Area,Ready To Move,Kengeri,Goardth,2894.0,4,1,245.0,4,4,Ready,0.08465791292328956,61.25,9,27.22222222222222
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,GrrvaGr,1330.0,2,1,48.0,3,5,Ready,0.03609022556390978,9.6,8,6.0
Built-up  Area,Ready To Move,Devasthanagalu,GrrvaGr,1200.0,2,1,65.0,2,4,Ready,0.05416666666666667,16.25,7,9.285714285714286
Built-up  Area,Ready To Move,T Dasarahalli,GrrvaGr,1200.0,3,1,90.0,3,3,Ready,0.075,30.0,7,12.857142857142858
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,2502.0,3,3,138.0,3,5,Ready,0.05515587529976019,27.6,11,12.545454545454545
Built-up  Area,Ready To Move,Chandapura,KHityry,650.0,1,1,17.0,2,4,Ready,0.026153846153846153,4.25,6,2.8333333333333335
Plot  Area,Ready To Move,Kothanur,BDensar,2400.0,2,1,150.0,3,3,Ready,0.0625,50.0,6,25.0
Super built-up  Area,Ready To Move,Green View Layout,Makeser,1007.0,2,2,43.0,2,4,Ready,0.04270109235352532,10.75,8,5.375
Super built-up  Area,Ready To Move,Shantiniketan Layout,Maest N,1200.0,2,2,50.0,2,4,Ready,0.041666666666666664,12.5,8,6.25
Super built-up  Area,Ready To Move,Peenya,GrrvaGr,966.0,2,2,49.9,2,4,Ready,0.05165631469979296,12.475,8,6.2375
Built-up  Area,Ready To Move,Nagarbhavi,GrrvaGr,1630.0,2,1,98.0,3,5,Ready,0.06012269938650307,19.6,8,12.25
Built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3,2,229.0,3,5,Ready,0.13963414634146343,45.8,10,22.9
Built-up  Area,Ready To Move,Jalahalli West,GrrvaGr,782.0,2,2,55.68,2,4,Ready,0.07120204603580563,13.92,8,6.96
Super built-up  Area,19-Apr,Devanahalli,Oznuean,1260.0,2,2,66.78,2,4,Not Ready,0.053,16.695,8,8.3475
Super built-up  Area,Ready To Move,Lakshmiamma Garden,GrrvaGr,1800.0,3,3,120.0,3,5,Ready,0.06666666666666667,24.0,11,10.909090909090908
Super built-up  Area,Ready To Move,Byatarayanapura,Reeroce,1413.0,2,2,75.0,3,5,Ready,0.05307855626326964,15.0,9,8.333333333333334
Super built-up  Area,Ready To Move,Whitefield,Sonviik,1116.0,2,1,51.91,2,4,Ready,0.046514336917562724,12.9775,7,7.4157142857142855
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1530.0,2,1,45.9,3,5,Ready,0.03,9.18,8,5.7375
Built-up  Area,Ready To Move,Ramamurthy Nagar,GrrvaGr,3700.0,4,1,225.0,4,4,Ready,0.060810810810810814,56.25,9,25.0
Built-up  Area,Ready To Move,Sarjapur  Road,Cetattu,2497.0,3,2,140.0,3,3,Ready,0.05606728073688426,46.666666666666664,8,17.5
Super built-up  Area,Ready To Move,Kengeri,Vaens G,1540.0,2,3,64.0,3,5,Ready,0.04155844155844156,12.8,10,6.4
Super built-up  Area,18-Dec,Thanisandra,GrrvaGr,1436.0,3,1,74.75,3,5,Not Ready,0.052054317548746516,14.95,9,8.305555555555555
Super built-up  Area,18-Jun,Malleshwaram,GrrvaGr,1100.0,2,2,75.0,2,4,Not Ready,0.06818181818181818,18.75,8,9.375
Plot  Area,Ready To Move,Hennur Road,GrrvaGr,276.0,3,3,23.0,2,2,Ready,0.08333333333333333,11.5,8,2.875
Super built-up  Area,Ready To Move,Thanisandra,Moity S,1427.0,3,2,120.0,3,5,Ready,0.08409250175192712,24.0,10,12.0
Super built-up  Area,Ready To Move,Akshaya Nagar,HiahsLa,2061.0,3,1,200.0,3,5,Ready,0.09704027171276079,40.0,9,22.22222222222222
Super built-up  Area,18-Mar,Hebbal,SNontle,5611.5,4,0,477.0,4,6,Not Ready,0.08500400962309543,79.5,10,47.7
Built-up  Area,Ready To Move,Shampura,GrrvaGr,2650.0,4,2,150.0,4,6,Ready,0.05660377358490566,25.0,12,12.5
Super built-up  Area,22-Dec,Devanahalli,Sabixtt,1282.0,2,2,68.52,3,5,Not Ready,0.05344773790951638,13.703999999999999,9,7.613333333333333
Built-up  Area,Ready To Move,Kadugodi,GrrvaGr,1050.0,2,1,34.0,2,4,Ready,0.03238095238095238,8.5,7,4.857142857142857
Built-up  Area,Ready To Move,LB Shastri Nagar,Sragei ,1600.0,3,2,65.0,3,5,Ready,0.040625,13.0,10,6.5
Super built-up  Area,22-Jan,Vajarahalli,GrrvaGr,945.0,2,1,54.0,2,4,Not Ready,0.05714285714285714,13.5,7,7.714285714285714
Super built-up  Area,Ready To Move,Hormavu,SyidaCr,1500.0,2,1,78.0,2,4,Ready,0.052,19.5,7,11.142857142857142
Plot  Area,Ready To Move,Vishwapriya Layout,GrrvaGr,950.0,7,0,115.0,7,7,Ready,0.12105263157894737,16.428571428571427,14,8.214285714285714
Built-up  Area,Ready To Move,Peenya,Jahts H,1870.0,3,3,110.0,3,5,Ready,0.058823529411764705,22.0,11,10.0
Plot  Area,Ready To Move,Sarjapur,Inensba,1600.0,3,1,75.0,3,3,Ready,0.046875,25.0,7,10.714285714285714
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,880.0,1,1,16.5,2,4,Ready,0.01875,4.125,6,2.75
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,GrrvaGr,1200.0,4,0,210.0,4,4,Ready,0.175,52.5,8,26.25
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3,2,83.0,3,5,Ready,0.054071661237785014,16.6,10,8.3
Built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2,1,57.0,2,4,Ready,0.06,14.25,7,8.142857142857142
Super built-up  Area,18-Aug,Devanahalli,Derdsig,1360.0,2,1,65.0,2,4,Not Ready,0.04779411764705882,16.25,7,9.285714285714286
Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1073.5,2,0,54.005,2,4,Not Ready,0.05030740568234746,13.50125,6,9.000833333333334
Super built-up  Area,18-May,Bommasandra Industrial Area,GrrvaGr,1280.0,3,1,50.4,3,5,Not Ready,0.039375,10.08,9,5.6
Super built-up  Area,19-Jan,Chandra Layout,TiaksAa,1260.0,2,2,85.05,3,5,Not Ready,0.0675,17.009999999999998,9,9.45
Built-up  Area,Ready To Move,Hennur Road,GrrvaGr,5000.0,8,1,250.0,8,8,Ready,0.05,31.25,17,14.705882352941176
Super built-up  Area,19-Dec,Yelahanka,LedorSa,3050.0,5,1,213.0,5,7,Not Ready,0.06983606557377049,30.428571428571427,13,16.384615384615383
Super built-up  Area,Ready To Move,Kasavanhalli,HMwerCo,1563.05,3,1,105.0,3,5,Ready,0.06717635392341896,21.0,9,11.666666666666666
Super built-up  Area,Ready To Move,ISRO Layout,GrrvaGr,1000.0,2,1,60.0,2,4,Ready,0.06,15.0,7,8.571428571428571
Super built-up  Area,17-Jul,Anandapura,ViensRK,1167.0,2,1,43.76,2,4,Not Ready,0.037497857754927165,10.94,7,6.251428571428571
Super built-up  Area,Ready To Move,Vishveshwarya Layout,GrrvaGr,4000.0,7,2,225.0,7,9,Ready,0.05625,25.0,18,12.5
Super built-up  Area,Ready To Move,Kothanur,Somumys,1828.0,3,1,110.0,3,5,Ready,0.060175054704595186,22.0,9,12.222222222222221
Super built-up  Area,Ready To Move,Kengeri Satellite Town,HoiewLa,890.0,2,1,35.0,2,4,Ready,0.03932584269662921,8.75,7,5.0
Super built-up  Area,Ready To Move,Basavanapura,Dwity T,1612.0,3,3,46.74,3,5,Ready,0.028995037220843674,9.348,11,4.249090909090909
Plot  Area,Ready To Move,Dinnur,GrrvaGr,1034.0,5,1,185.0,6,6,Ready,0.17891682785299806,30.833333333333332,12,15.416666666666666
Super built-up  Area,19-Apr,Mysore Road,Brama P,1710.0,4,2,91.31,3,5,Not Ready,0.05339766081871345,18.262,11,8.30090909090909
Super built-up  Area,Ready To Move,Kannamangala,VBownre,957.0,2,1,58.0,2,4,Ready,0.06060606060606061,14.5,7,8.285714285714286
Super built-up  Area,18-May, Devarachikkanahalli,GrrvaGr,1250.0,2,3,44.0,3,5,Not Ready,0.0352,8.8,10,4.4
Super built-up  Area,Ready To Move,Sanjeevini Nagar,Betatsi,2795.0,4,1,235.0,3,5,Ready,0.08407871198568873,47.0,10,23.5
Super built-up  Area,Ready To Move,Hulimavu,Prcan P,1125.0,2,2,50.0,2,4,Ready,0.044444444444444446,12.5,8,6.25
Super built-up  Area,18-Jul,Electronic City Phase II,Sryalan,1020.0,2,1,30.6,2,4,Not Ready,0.030000000000000002,7.65,7,4.371428571428572
Super built-up  Area,Ready To Move,Kalena Agrahara,GrrvaGr,1200.0,2,2,50.0,2,4,Ready,0.041666666666666664,12.5,8,6.25
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,1735.0,3,3,135.0,3,5,Ready,0.07780979827089338,27.0,11,12.272727272727273
Super built-up  Area,Ready To Move,Thanisandra,G conTh,2050.0,3,1,145.0,3,5,Ready,0.07073170731707316,29.0,9,16.11111111111111
Built-up  Area,Ready To Move,Yarandahalli,GrrvaGr,1350.0,2,3,48.0,3,5,Ready,0.035555555555555556,9.6,10,4.8
Super built-up  Area,18-May,Hosa Road,SStusan,1063.0,2,1,32.0,2,4,Not Ready,0.030103480714957668,8.0,7,4.571428571428571
Super built-up  Area,Ready To Move,Keshava Nagar,ETens G,1904.0,3,1,150.0,3,5,Ready,0.07878151260504201,30.0,9,16.666666666666668
Built-up  Area,Ready To Move,Whitefield,GrrvaGr,4200.0,4,2,420.0,4,4,Ready,0.1,105.0,10,42.0
Super built-up  Area,Ready To Move,RMV Extension,Hohnari,2000.0,3,1,175.0,3,5,Ready,0.0875,35.0,9,19.444444444444443
Super built-up  Area,18-Dec,Sarjapur,Kinuerg,1242.5,2,0,43.49,2,4,Not Ready,0.035002012072434606,10.8725,6,7.248333333333334
Super built-up  Area,Ready To Move,Tejaswini Nagar,Naods W,1425.0,2,2,75.0,3,5,Ready,0.05263157894736842,15.0,9,8.333333333333334
Super built-up  Area,Ready To Move,Electronic City,GMown E,1500.0,2,1,64.5,3,5,Ready,0.043,12.9,8,8.0625
Built-up  Area,Ready To Move,Electronic City,GMown E,1060.0,2,1,60.0,2,4,Ready,0.05660377358490566,15.0,7,8.571428571428571
Built-up  Area,Ready To Move,Jai Bheema Nagar,Sancyra,1470.0,2,2,70.0,3,5,Ready,0.047619047619047616,14.0,9,7.777777777777778
Super built-up  Area,Ready To Move,Kothnur Narayanapura,GrrvaGr,1300.0,6,0,99.0,6,8,Ready,0.07615384615384616,12.375,14,7.071428571428571
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1,1,11.0,1,3,Ready,0.024444444444444446,3.6666666666666665,5,2.2
Super built-up  Area,18-Apr,Electronic City,Prarkun,1152.0,2,1,64.5,2,4,Not Ready,0.055989583333333336,16.125,7,9.214285714285714
Super built-up  Area,Ready To Move,Electronic City,GMown E,1350.0,2,1,56.0,3,5,Ready,0.04148148148148148,11.2,8,7.0
Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1550.0,3,3,65.0,3,5,Ready,0.041935483870967745,13.0,11,5.909090909090909
Plot  Area,Ready To Move,CHIKKATIRUPATHI,GrrvaGr,1500.0,3,2,100.0,3,3,Ready,0.06666666666666667,33.333333333333336,8,12.5
Plot  Area,Ready To Move,Kumaraswami Layout,GrrvaGr,600.0,3,2,85.0,5,5,Ready,0.14166666666666666,17.0,10,8.5
Plot  Area,Ready To Move,Nagavara,GrrvaGr,400.0,1,0,14.0,1,1,Ready,0.035,14.0,2,7.0
Super built-up  Area,Ready To Move,Malleshwaram,Utntspa,705.0,1,2,67.0,1,3,Ready,0.0950354609929078,22.333333333333332,6,11.166666666666666
Built-up  Area,Ready To Move,Electronic City,GMown E,770.0,1,1,36.0,2,4,Ready,0.046753246753246755,9.0,6,6.0
Super built-up  Area,Ready To Move,Hulimavu,Aniona ,1242.0,2,3,51.0,2,4,Ready,0.04106280193236715,12.75,9,5.666666666666667
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1700.0,3,2,155.0,3,5,Ready,0.09117647058823529,31.0,10,15.5
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2144.0,3,2,145.0,3,5,Ready,0.06763059701492537,29.0,10,14.5
Super built-up  Area,21-Jun,Vijayanagar,Saahaat,1704.0,3,2,110.0,3,5,Not Ready,0.06455399061032864,22.0,10,11.0
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2,1,52.0,2,4,Ready,0.048598130841121495,13.0,7,7.428571428571429
Super built-up  Area,Ready To Move,Jakkuru Layout,GrrvaGr,1340.0,2,2,55.7,2,4,Ready,0.04156716417910448,13.925,8,6.9625
Built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2,1,46.0,2,4,Ready,0.0448780487804878,11.5,7,6.571428571428571
Super built-up  Area,Ready To Move,KR Puram,MCvarar,1277.5,2,0,56.8,2,4,Ready,0.04446183953033268,14.2,6,9.466666666666667
Super built-up  Area,Ready To Move,Marathahalli,VRave E,1200.0,2,2,52.0,2,4,Ready,0.043333333333333335,13.0,8,6.5
Built-up  Area,18-Dec,Kanakpura Road,GrrvaGr,2250.0,4,1,110.0,4,4,Not Ready,0.04888888888888889,27.5,9,12.222222222222221
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2,3,80.0,3,5,Ready,0.05161290322580645,16.0,10,8.0
Plot  Area,Ready To Move,Ejipura,GrrvaGr,1800.0,7,1,250.0,7,7,Ready,0.1388888888888889,35.714285714285715,15,16.666666666666668
Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1200.0,2,2,60.0,2,4,Ready,0.05,15.0,8,7.5
